,Date,Weight (lbs),BMI,Body Fat %,Fat-Free Body Weight (lbs),Subcutaneous Fat &,Visceral Fat,Body Water %,Skeletal Muscle %,Muscle Mass (lbs),Bone Mass (lbs),Protein %,BMR (kcal),Metabolic Age,Muscle %
0,2021-01-16 21:28:34,130.0,25.5,17.8,106.8,15.4,8.0,59.4,53.1,101.4,5.4,18.7,1416.0,18.0,78.0
1,2021-01-25 12:29:58,129.8,25.5,17.7,106.8,15.3,8.0,59.4,53.2,101.4,5.4,18.8,1416.0,18.0,78.1
2,2021-01-26 06:24:40,127.8,25.1,17.1,106.0,15.0,7.0,59.9,53.6,100.6,5.2,18.9,1407.0,18.0,78.7
3,2021-01-27 07:19:40,128.2,25.2,17.2,106.0,15.1,7.0,59.7,53.5,100.8,5.4,18.9,1410.0,18.0,78.6
4,2021-01-28 05:44:49,128.8,25.3,17.4,106.4,15.0,8.0,59.6,53.4,101.2,5.4,18.8,1412.0,18.0,78.6
5,2021-01-29 07:48:11,129.2,25.4,17.6,106.6,15.2,8.0,59.5,53.2,101.2,5.4,18.8,1413.0,18.0,78.3
6,2021-01-30 08:21:41,128.0,25.1,17.2,106.0,15.1,7.0,59.8,53.5,100.6,5.2,18.9,1408.0,18.0,78.6
7,2021-01-31 08:48:02,127.8,25.1,17.1,106.0,15.0,7.0,59.9,53.6,100.6,5.2,18.9,1407.0,18.0,78.7
8,2021-02-02 10:41:15,128.6,25.3,17.3,106.4,14.9,8.0,59.7,53.4,101.0,5.4,18.9,1412.0,18.0,78.5
9,2021-02-03 16:37:19,127.8,25.1,17.1,106.0,15.0,7.0,59.8,53.5,100.8,5.2,18.9,1408.0,18.0,78.9
10,2021-02-04 09:22:40,127.2,25.0,16.9,105.6,14.8,7.0,60.0,53.7,100.4,5.2,19.0,1405.0,18.0,78.9
11,2021-02-05 08:39:19,126.6,24.8,16.7,105.4,14.6,7.0,60.1,53.8,100.2,5.2,19.0,1402.0,18.0,79.1
12,2021-02-05 09:57:14,125.8,24.7,16.5,105.0,14.4,7.0,60.3,53.9,99.8,5.2,19.0,1398.0,18.0,79.3
13,2021-02-06 11:16:24,125.4,24.6,16.4,104.8,14.3,7.0,60.4,54.0,99.6,5.2,19.1,1397.0,18.0,79.4
14,2021-02-07 22:29:43,127.8,25.1,17.1,106.0,15.0,7.0,59.9,53.6,100.6,5.2,18.9,1407.0,18.0,78.7
15,2021-02-09 09:32:47,126.6,24.9,16.7,105.4,14.6,7.0,60.1,53.8,100.2,5.2,19.0,1403.0,18.0,79.1
16,2021-02-10 11:35:00,126.4,24.8,16.7,105.2,14.6,7.0,60.2,53.8,100.0,5.2,19.0,1400.0,18.0,79.1
17,2021-02-11 09:07:29,126.2,24.8,16.6,105.2,14.5,7.0,60.2,53.9,100.0,5.2,19.0,1400.0,18.0,79.2
18,2021-02-12 10:21:43,125.8,24.7,16.5,105.0,14.4,7.0,60.3,53.9,99.8,5.2,19.0,1398.0,18.0,79.3
19,2021-02-13 09:50:04,125.8,24.7,16.5,105.0,14.4,7.0,60.3,53.9,99.8,5.2,19.0,1398.0,18.0,79.3
20,2021-02-14 11:10:36,126.8,24.9,16.8,105.6,14.7,7.0,60.0,53.7,100.2,5.2,19.0,1404.0,18.0,79.0
21,2021-02-15 08:53:19,126.6,24.9,16.7,105.4,14.6,7.0,60.1,53.8,100.2,5.2,19.0,1403.0,18.0,79.1
22,2021-02-17 01:03:33,128.8,25.3,17.4,106.4,15.0,8.0,59.6,53.3,101.2,5.4,18.9,1412.0,18.0,78.6
23,2021-02-19 14:15:58,126.2,24.8,16.6,105.2,14.5,7.0,60.2,53.9,100.0,5.2,19.0,1400.0,18.0,79.2
24,2021-02-21 09:39:27,127.4,25.0,17.0,105.8,14.9,7.0,60.0,53.6,100.4,5.2,18.9,1405.0,18.0,78.8
25,2021-02-22 11:10:06,126.8,24.9,16.8,105.6,14.7,7.0,60.1,53.8,100.2,5.2,19.0,1404.0,18.0,79.0
26,2021-02-23 07:47:26,125.4,24.6,16.3,104.8,14.2,7.0,60.4,54.0,99.6,5.2,19.1,1397.0,18.0,79.4
27,2021-02-24 08:58:48,126.0,24.7,16.6,105.2,14.5,7.0,60.2,53.9,99.8,5.2,19.0,1399.0,18.0,79.2
28,2021-02-25 16:55:13,127.6,25.1,17.1,105.8,15.0,7.0,59.9,53.6,100.6,5.2,18.9,1406.0,18.0,78.8
29,2021-02-26 11:10:46,128.6,25.2,17.3,106.2,14.9,8.0,59.7,53.4,101.0,5.4,18.9,1411.0,18.0,78.5
30,2021-02-28 07:11:15,128.0,25.1,17.2,106.0,15.1,7.0,59.8,53.5,100.8,5.4,18.9,1409.0,18.0,78.8
31,2021-03-03 11:52:52,131.0,25.7,18.1,107.2,15.7,8.0,59.1,52.9,101.8,5.4,18.7,1420.0,18.0,77.7
32,2021-03-04 10:53:55,128.6,25.2,17.3,106.4,14.9,8.0,59.7,53.4,101.0,5.4,18.9,1411.0,18.0,78.5
33,2021-03-05 12:25:22,127.6,25.0,17.0,105.8,14.9,7.0,59.9,53.6,100.6,5.2,18.9,1407.0,18.0,78.8
34,2021-03-10 22:28:09,129.0,25.3,17.5,106.4,15.1,8.0,59.6,53.3,101.0,5.4,18.8,1412.0,18.0,78.3
35,2021-03-17 22:36:12,129.0,25.3,17.5,106.6,15.1,8.0,59.6,53.3,101.2,5.4,18.8,1413.0,18.0,78.4
36,2021-03-23 00:00:36,130.0,25.5,17.8,107.0,15.4,8.0,59.4,53.1,101.6,5.4,18.7,1417.0,18.0,78.2
37,2021-03-29 01:04:40,132.8,26.1,18.6,108.0,16.0,9.0,58.7,52.5,102.8,5.4,18.6,1429.0,18.0,77.4
38,2021-03-29 11:06:37,130.8,25.7,18.0,107.4,15.5,8.0,59.2,53.0,101.8,5.4,18.7,1421.0,18.0,77.8
39,2021-04-27 17:30:25,132.8,26.1,18.6,108.2,16.0,9.0,58.8,52.6,102.8,5.4,18.5,1429.0,18.0,77.4
40,2021-05-12 06:25:54,134.0,26.3,19.0,108.6,16.4,9.0,58.5,52.4,103.2,5.4,18.4,1433.0,18.0,77.0
41,2021-05-12 06:28:20,134.0,26.3,18.9,108.6,16.3,9.0,58.5,52.4,103.2,5.4,18.5,1435.0,18.0,77.0
42,2021-05-18 17:50:23,131.0,25.7,18.1,107.4,15.6,8.0,59.2,53.0,101.8,5.4,18.6,1420.0,18.0,77.7
43,2021-05-19 21:36:15,130.6,25.6,18.0,107.2,15.5,8.0,59.2,53.0,101.8,5.4,18.7,1419.0,18.0,77.9
44,2021-05-20 21:28:11,131.0,25.7,18.1,107.4,15.6,8.0,59.1,52.9,102.0,5.4,18.7,1421.0,18.0,77.9
