TeamName,City,Abbrev
orioles,baltimore,BAL
redsox,boston,BOS
yankees,new york,NYY
rays,tampa bay,TB
bluejays,toronto,TOR
whitesox,chicago,CWS
guardians,cleveland,CLE
tigers,detroit,DET
royals,kansas city,KC
twins,minnesota,MIN
astros,houston,HOU
angels,los angeles,LAA
athletics,oakland,OAK
mariners,seattle,SEA
rangers,texas,TEX
braves,atlanta,ATL
marlins,miama,MIA
mets,new york,NYM
phillies,philidelphia,PHI
nationals,washington,WSH
cubs,chicago,CHC
reds,cincinnati,CIN
brewers,milwaukee,MIL
pirates,pittsburgh,PIT
cardinals,saint louis,STL
diamondbacks,arizona,AZ
rockies,colorado,COL
dodgers,los angeles,LAD
padres,san diego,SD
giants,san francisco,SF
